Chr	Start	End	Site_count
chr1	0	100000	0
chr1	100000	200000	0
chr1	200000	300000	0
chr1	300000	400000	0
chr1	400000	500000	0
chr1	500000	600000	0
chr1	600000	700000	0
chr1	700000	800000	0
chr1	800000	900000	0
chr1	900000	1000000	0
chr1	1000000	1100000	0
chr1	1100000	1200000	0
chr1	1200000	1300000	0
chr1	1300000	1400000	0
chr1	1400000	1500000	0
chr1	1500000	1600000	0
chr1	1600000	1700000	0
chr1	1700000	1800000	0
chr1	1800000	1900000	0
chr1	1900000	2000000	0
chr1	2000000	2100000	0
chr1	2100000	2200000	0
chr1	2200000	2300000	0
chr1	2300000	2400000	0
chr1	2400000	2500000	0
chr1	2500000	2600000	0
chr1	2600000	2700000	0
chr1	2700000	2800000	0
chr1	2800000	2900000	0
chr1	2900000	3000000	0
chr1	3000000	3100000	404
chr1	3100000	3200000	435
chr1	3200000	3300000	494
chr1	3300000	3400000	382
chr1	3400000	3500000	424
chr1	3500000	3600000	443
chr1	3600000	3700000	346
chr1	3700000	3800000	414
chr1	3800000	3900000	416
chr1	3900000	4000000	459
chr1	4000000	4100000	397
chr1	4100000	4200000	396
chr1	4200000	4300000	434
chr1	4300000	4400000	474
chr1	4400000	4500000	450
chr1	4500000	4600000	436
chr1	4600000	4700000	524
chr1	4700000	4800000	515
chr1	4800000	4900000	600
chr1	4900000	5000000	490
chr1	5000000	5100000	392
chr1	5100000	5200000	376
chr1	5200000	5300000	377
chr1	5300000	5400000	416
chr1	5400000	5500000	368
chr1	5500000	5600000	422
chr1	5600000	5700000	357
chr1	5700000	5800000	390
chr1	5800000	5900000	350
chr1	5900000	6000000	386
chr1	6000000	6100000	406
chr1	6100000	6200000	353
chr1	6200000	6300000	605
chr1	6300000	6400000	452
chr1	6400000	6500000	471
chr1	6500000	6600000	377
chr1	6600000	6700000	437
chr1	6700000	6800000	474
chr1	6800000	6900000	399
chr1	6900000	7000000	412
chr1	7000000	7100000	465
chr1	7100000	7200000	590
chr1	7200000	7300000	401
chr1	7300000	7400000	526
chr1	7400000	7500000	376
chr1	7500000	7600000	435
chr1	7600000	7700000	391
chr1	7700000	7800000	359
chr1	7800000	7900000	444
chr1	7900000	8000000	404
chr1	8000000	8100000	445
chr1	8100000	8200000	425
chr1	8200000	8300000	344
